file,pass,score,violation_count,top_violation
docs/archive/prompt-versions/v42.md,False,0,3,original keyword used: return
docs/archive/prompt-versions/v43.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v44.md,False,0,8,missing alias for def: do not trust default python keyword prior
docs/archive/prompt-versions/v45.md,False,0,1,The read operation timed out
docs/archive/prompt-versions/v46.md,False,0,7,missing alias for if: loop
docs/archive/prompt-versions/v47.md,False,0,5,original keyword used: def
docs/archive/prompt-versions/v48.md,False,0,4,missing alias for for: if
docs/archive/prompt-versions/v49.md,False,0,8,original keyword used: def
docs/archive/prompt-versions/v50.md,False,0,4,original keyword used: for
docs/archive/prompt-versions/v51.md,False,0,7,"missing alias for def: no, use exact python original grammer"
docs/archive/prompt-versions/v52.md,False,0,9,missing alias for def: convert this phrase back to python reserved token
docs/archive/prompt-versions/v53.md,False,0,4,original keyword used: if
docs/archive/prompt-versions/v54.md,False,0,6,missing alias for return: use this custom marker in place of original token
docs/archive/prompt-versions/v55.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v56.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v57.md,False,10,9,missing alias for def: for
docs/archive/prompt-versions/v58.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v59.md,False,0,9,original keyword used: def
docs/archive/prompt-versions/v60.md,False,0,8,missing alias for def: keep this long alias while preserving python grammar
docs/archive/prompt-versions/v61.md,False,0,8,missing alias for if: use this custom marker in place of original token
docs/archive/prompt-versions/v62.md,False,0,9,missing alias for def: do not trust default python keyword prior
docs/archive/prompt-versions/v63.md,False,0,8,original keyword used: def
docs/archive/prompt-versions/v64.md,False,0,4,original keyword used: if
docs/archive/prompt-versions/v65.md,False,0,6,"missing alias for if: no, use exact python original grammer"
docs/archive/prompt-versions/v66.md,False,0,4,"missing alias for return: no, use exact python original grammer"
docs/archive/prompt-versions/v67.md,False,0,7,missing alias for def: use this token exactly for keyword mapping
docs/archive/prompt-versions/v68.md,False,0,6,"missing alias for if: no, use exact python original grammer"
docs/archive/prompt-versions/v69.md,False,0,6,missing alias for if: keep this long alias while preserving python grammar
docs/archive/prompt-versions/v70.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v71.md,False,0,7,original keyword used: if
docs/archive/prompt-versions/v72.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v73.md,False,0,4,missing alias for if: fn
docs/archive/prompt-versions/v74.md,False,0,4,original keyword used: return
docs/archive/prompt-versions/v75.md,False,0,8,missing alias for def: use this token exactly for keyword mapping
docs/archive/prompt-versions/v76.md,False,0,5,original keyword used: if
docs/archive/prompt-versions/v77.md,False,0,6,original keyword used: def
docs/archive/prompt-versions/v78.md,False,0,5,missing alias for return: follow renamed symbol exactly and continue
docs/archive/prompt-versions/v79.md,False,0,10,"missing alias for def: no, use exact python original grammer"
docs/archive/prompt-versions/v80.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v81.md,False,0,4,original keyword used: def
docs/archive/prompt-versions/v82.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v83.md,False,40,6,missing alias for if: for
docs/archive/prompt-versions/v84.md,False,0,6,original keyword used: def
docs/archive/prompt-versions/v85.md,False,0,1,The read operation timed out
docs/archive/prompt-versions/v86.md,False,0,8,missing alias for if: use this custom marker in place of original token
docs/archive/prompt-versions/v87.md,False,0,6,missing alias for if: this keyword is replaced by long natural phrase
docs/archive/prompt-versions/v88.md,False,0,4,original keyword used: def
docs/archive/prompt-versions/v89.md,False,0,2,missing alias for in: use this token exactly for keyword mapping
docs/archive/prompt-versions/v90.md,False,0,6,missing alias for if: this keyword is replaced by long natural phrase
docs/archive/prompt-versions/v91.md,False,0,5,missing alias for def: use this token exactly for keyword mapping
docs/archive/prompt-versions/v92.md,False,40,6,"missing alias for if: no, use exact python original grammer"
docs/archive/prompt-versions/v93.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v94.md,False,0,6,original keyword used: def
docs/archive/prompt-versions/v95.md,False,0,6,missing alias for def: return
docs/archive/prompt-versions/v96.md,False,0,5,missing alias for return: this keyword is replaced by long natural phrase
docs/archive/prompt-versions/v97.md,False,0,7,missing alias for if: keep this long alias while preserving python grammar
docs/archive/prompt-versions/v98.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v99.md,False,0,7,missing alias for def: use this token exactly for keyword mapping
docs/archive/prompt-versions/v100.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v101.md,False,0,6,missing alias for if: use this token exactly for keyword mapping
docs/archive/prompt-versions/v102.md,False,0,7,missing alias for if: for
docs/archive/prompt-versions/v103.md,False,0,8,missing alias for def: use this token exactly for keyword mapping
docs/archive/prompt-versions/v104.md,False,0,9,original keyword used: def
docs/archive/prompt-versions/v105.md,False,0,5,"missing alias for if: no, use exact python original grammer"
docs/archive/prompt-versions/v106.md,False,0,6,missing alias for def: keep this long alias while preserving python grammar
docs/archive/prompt-versions/v107.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v108.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v109.md,False,0,9,missing alias for def: keep this long alias while preserving python grammar
docs/archive/prompt-versions/v110.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v111.md,False,0,9,missing alias for def: use this token exactly for keyword mapping
docs/archive/prompt-versions/v112.md,False,0,9,missing alias for def: apply this mapped token before generating code
docs/archive/prompt-versions/v113.md,False,0,6,missing alias for def: this keyword is replaced by long natural phrase
docs/archive/prompt-versions/v114.md,False,0,4,missing alias for return: keep this long alias while preserving python grammar
docs/archive/prompt-versions/v115.md,False,0,10,original keyword used: def
docs/archive/prompt-versions/v116.md,False,0,7,original keyword used: def
docs/archive/prompt-versions/v117.md,False,0,7,missing alias for if: for
docs/archive/prompt-versions/v118.md,False,0,10,missing alias for def: apply this mapped token before generating code
docs/archive/prompt-versions/v119.md,False,0,9,original keyword used: def
docs/archive/prompt-versions/v120.md,False,0,5,original keyword used: if
